District,Mandal,Village
Hyderabad,Secunderabad,Karkhana
Hyderabad,Secunderabad,Marredpally
Hyderabad,Charminar,Charminar
Hyderabad,Golconda,Langar Houz
Hyderabad,Uppal,Uppal
Warangal,Hanamkonda,Kazipet
Warangal,Parkal,Parkal
Warangal,Jangaon,Jangaon
Warangal,Narsampet,Narsampet
Nizamabad,Nizamabad Urban,Nizamabad
Nizamabad,Bodhan,Bodhan
Nizamabad,Armoor,Armoor
Adilabad,Adilabad,Adilabad
Adilabad,Ichoda,Ichoda
Adilabad,Nirmal,Nirmal
Khammam,Khammam Urban,Khammam
Khammam,Kothagudem,Kothagudem
Khammam,Wyra,Wyra
Karimnagar,Karimnagar Urban,Karimnagar
Karimnagar,Choppadandi,Choppadandi
Karimnagar,Huzurabad,Huzurabad
Medak,Medak,Medak
Medak,Sangareddy,Sangareddy
Medak,Zaheerabad,Zaheerabad
